ch07 用户和组函数小结

cuserid     （取得用户帐号名称）
endrgent    （关闭组文件）
endpwent    （关闭密码文件）
endutent    （关闭utmp文件）
fgetgrent   （从指定的文件来读取组格式）
fgetpwent   （从指定的文件来读取密码格式）
getegid     （取有效的组识别码）
geteuid     （取得有效的用户识别码）
getgid      （取得真实的组识别码）
getgrent    （从组文件中取得帐号的数据）
getgrgid    （从组文件中取得指定gid的数据）
getgrnam    （从组文件中取得指定组的数据）
getgroups   （取得组代码）
getlogin    （取得登录的用户帐号名称）
getpw       （取得指定用户的密码文件数据）
getpwent    （从密码文件中取得帐号的数据）
getpwnam    （从密码文件中取得指定帐号的数据）
getpwuid    （从密码文件中取得指定uid的数据）
getuid      （取得真实的用户识别码）
getutent    （从utmp文件中取得帐号登录数据）
getutid     （从utmp文件中查找特定的记录）
getutline   （从utmp文件中查找特定的记录）
initgroups  （初始化清单）
logwtmp     （将一登录数据记录到wtmp文件）
pututline   （将utmp记录写入文件）
setegid     （设置有效的组识别码）
seteuid     （设置有效的用户识别码）
setfsgid    （设置文件系统的组识别码）
setfsuid    （设置文件系统的用户识别码）
setgid      （设置真实的组识别码）
setgrent    （从头读取组文件中的组数据）
setgroups   （设置组代码）
setpwent    （从头读取密码文件中的帐号数据）
setregid    （设置真实及有效的组识别码）
setreuid    （设置真实及有效的用户识别码）
setuid      （设置真实的用户识别码）
setutent    （从头读取utmp文件中的登录数据）
updwtmp     （将一登录数据记录到wtmp文件）
utmpname    （设置utmp文件路径）
